pairid,argid,propid_to,propid_from,text_to,text_from,relation,nli_20K_ent,nli_20K_con,nli_20K_neu,nli_50K_ent,nli_50K_con,nli_50K_neu
00979_2#00979_2_12,00979,00979_2,00979_2_12,Evolution is fact rather than fiction.,"The theory of evolution is based around the idea that creatures genetically mutate to survive better, but mutations (which are often caused by concentration of the gene pool due to competitors with less helpful-to-survival genes having died off) have actually only served to distort a species when they occur.",-1,0.061637718230485916,0.6265279650688171,0.31183430552482605,0.002836590865626931,0.7882200479507446,0.2089434415102005
00930_4#00930_4_3,00930,00930_4,00930_4_3,A guest worker immigration reform program is a good idea for the United States...,"""The immigration bill passed by the Senate (S. 2611 - w/ guest worker provision) also would contribute to strengthening Social Security finances, according to the Social Security actuaries."" -Center on Budget and Policy Priorities 9/15/06",1,0.03677595779299736,0.0066672442480921745,0.9565567970275879,0.0073816366493701935,0.0007379306480288506,0.9918803572654724
00930_9#00930_9_16,00930,00930_9,00930_9_16,A guest worker immigration reform program is a good idea for the United States...,John McCain (R. - Ariz) and Ted Kennedy (D-Mass) jointly drafted a Guest Worker bill that Arlen Specter then made central in the legislation the his Judiciary Committee then sent onto a Senate vote in S. 2611:,1,0.004012346733361483,0.007851299829781055,0.9881364107131958,0.0014037276851013303,0.002597712678834796,0.9959985017776489
00461_2#00461_2_10,00461,00461_2,00461_2_10,Evolution is fact rather than fiction.,"The theory of evolution is based around the idea that creatures genetically mutate to survive better, but mutations (which are often caused by concentration of the gene pool due to competitors with less helpful-to-survival genes having died off) have actually only served to distort a species when they occur.",-1,0.061637718230485916,0.6265279650688171,0.31183430552482605,0.002836590865626931,0.7882200479507446,0.2089434415102005
01115_1#01115_1_3,01115,01115_1,01115_1_3,The Bible is a completely accurate source and the inspired word of God.,"The Genesis account of creation describes the same order of events of the creation of the Earth as modern science does, a remarkable and peerless achievement when compared to the haphazard guesses of other creation stories written in that era of history.",1,0.007478800136595964,0.824286699295044,0.16823449730873108,0.0009475463884882629,0.962868869304657,0.03618353232741356
00930_4#00930_4_12,00930,00930_4,00930_4_12,A guest worker immigration reform program is a good idea for the United States...,"S. 2611s Guest Worker ""prevailing wage"" provision is designed to protect against wage deflation resulting from employers offering low wages to foreign workers:Charles H. Kuck, Vice President, American Immigration Lawyers Association.]",1,0.014246205799281597,0.006230452563613653,0.9795234203338623,0.0022150534205138683,0.00398319261148572,0.9938017725944519
00930_4#00930_4_6,00930,00930_4,00930_4_6,A guest worker immigration reform program is a good idea for the United States...,"Contention that entitlement costs would be low initially and would be ""modest"" in the long-run because those that would qualify for the guest worker program and any potential path to citizenship are more ""self-supporting"":",1,0.009752645157277584,0.029908716678619385,0.9603386521339417,0.0030757745262235403,0.07292097806930542,0.9240031838417053
00841_2#00841_2_4,00841,00841_2,00841_2_4,Military tribunals in the US were justified.,"Marbury v. Madison clearly establishes the Court as the final arbiter of the meaning of the Constitution - it has jurisdiction in all criminal judgements, although Congress, and Congress alone, is Constitutionally permitted to limit the writ of habeus corpus:",-1,0.0053830575197935104,0.41817131638526917,0.5764456391334534,0.003572328481823206,0.11041891574859619,0.8860087990760803
01115_1#01115_1_8,01115,01115_1,01115_1_8,The Bible is a completely accurate source and the inspired word of God.,"For a lengthier explanation of the correlation of the Genesis account of Creation with the order of arrivals of species suggested by modern scientists, read the first chapter of Dr E.K Victor Pearces book ""Evidence for Truth: Science"".",1,0.01276967953890562,0.3069484531879425,0.6802818775177002,0.0012951148673892021,0.9517045021057129,0.04700043052434921
00213_2#00213_2_4,00213,00213_2,00213_2_4,Military tribunals in the US were justified.,"Marbury v. Madison clearly establishes the Court as the final arbiter of the meaning of the Constitution - it has jurisdiction in all criminal judgements, although Congress, and Congress alone, is Constitutionally permitted to limit the writ of habeus corpus:",-1,0.0053830575197935104,0.41817131638526917,0.5764456391334534,0.003572328481823206,0.11041891574859619,0.8860087990760803
00527_1#00527_1_5,00527,00527_1,00527_1_5,Pluto is a Planet. It was not properly classified as a dwarf-planet in 2006.,"The new definition under the IAU will eliminate the possibility that dozens of new ""planets"", under the old definition, be found and that an unmanageable and less meaningful list of ""planets"" emerges:",-1,0.0030880847480148077,0.20428696274757385,0.7926249504089355,0.004009297117590904,0.20802702009677887,0.7879636883735657
00930_1#00930_1_4,00930,00930_1,00930_1_4,A guest worker immigration reform program is a good idea for the United States...,"Argument that the Guest Worker program, as envisioned in S. 2611, is not ""amnesty"" because the illegals that would register for the program would have to pay a fine for having broken US law:",1,0.055364880710840225,0.16468445956707,0.7799506783485413,0.0054280501790344715,0.8728480935096741,0.12172386050224304
00841_7#00841_7_19,00841,00841_7,00841_7_19,Military tribunals in the US were justified.,"Justice Alito concluded that tribunals did conform with the requirement in Common Article 3 of the Geneva Conventions that any such tribunals be ""a regularly constituted court"" He argued that Common Article 3 was satisfied in Hamdans case because the military commissions:",1,0.17565327882766724,0.05083756521344185,0.7735092043876648,0.01857524737715721,0.002001266460865736,0.979423463344574
00930_4#00930_4_21,00930,00930_4,00930_4_21,A guest worker immigration reform program is a good idea for the United States...,"An assessment of the economic, tax burden, and welfare system costs of the immigrant influx that would result from a guest worker and ""path to citizenship"" program:Phyllis Schlafly 6/14/06",-1,0.011178421787917614,0.061251603066921234,0.9275699853897095,0.005281013436615467,0.26904651522636414,0.7256724834442139
00213_7#00213_7_3,00213,00213_7,00213_7_3,Military tribunals in the US were justified.,"Justice Alito concluded that tribunals did conform with the requirement in Common Article 3 of the Geneva Conventions that any such tribunals be ""a regularly constituted court"" He argued that Common Article 3 was satisfied in Hamdans case because the military commissions:",1,0.17565327882766724,0.05083756521344185,0.7735092043876648,0.01857524737715721,0.002001266460865736,0.979423463344574
00979_3#00979_3_3,00979,00979_3,00979_3_3,Evolution is fact rather than fiction.,"Because the list of supposed transitional fossils is so long, a list of refutations of them would also be to extensive to include in full in this debate, however, www.answersingenesis.org covers many explanations of these ""transitional fossils"".",-1,0.007927128113806248,0.7512964010238647,0.24077646434307098,0.004214847926050425,0.8440068960189819,0.15177832543849945
00930_4#00930_4_14,00930,00930_4,00930_4_14,A guest worker immigration reform program is a good idea for the United States...,"Argument that we don""t need more foreign workers, and that the low unemployment rate in the US through 2006 was misleading because so many weren""t even looking for work:Americans for Immigration Control ""06",-1,0.009515081532299519,0.21691417694091797,0.773570716381073,0.004461806733161211,0.20770709216594696,0.7878310680389404
00461_3#00461_3_7,00461,00461_3,00461_3_7,Evolution is fact rather than fiction.,"Because the list of supposed transitional fossils is so long, a list of refutations of them would also be to extensive to include in full in this debate, however, www.answersingenesis.org covers many explanations of these ""transitional fossils"".",-1,0.007927128113806248,0.7512964010238647,0.24077646434307098,0.004214847926050425,0.8440068960189819,0.15177832543849945
00278_3#00278_3_1,00278,00278_3,00278_3_1,A global tax is a good idea.,"While the USA would like to see other international actors be held responsible for not acting during humanitarian crises, the US has relied on its role as the worlds premier power in order to justify much of its foreign policy in the post-Cold War era:",-1,0.008164219558238983,0.45176947116851807,0.5400663018226624,0.004185291938483715,0.18985024094581604,0.805964469909668
00441_3#00441_3_2,00441,00441_3,00441_3_2,A global tax is a good idea.,"While the USA would like to see other international actors be held responsible for not acting during humanitarian crises, the US has relied on its role as the worlds premier power in order to justify much of its foreign policy in the post-Cold War era:",-1,0.008164219558238983,0.45176947116851807,0.5400663018226624,0.004185291938483715,0.18985024094581604,0.805964469909668
00915_4#00915_4_6,00915,00915_4,00915_4_6,The United States NSAs warrantless wiretapping program was justified.,"Judge Taylor misused the precedent of the ""Youngstown Sheet and Tube Case"" (seizure of U.S. steel mills in the face of a union strike) and overlooked many of its and subsequent rulings",1,0.003554822178557515,0.12095633894205093,0.875488817691803,0.001992265461012721,0.05525098368525505,0.942756712436676
00505_4#00505_4_2,00505,00505_4,00505_4_2,The United States NSAs warrantless wiretapping program was justified.,"Judge Taylor misused the precedent of the ""Youngstown Sheet and Tube Case"" (seizure of U.S. steel mills in the face of a union strike) and overlooked many of its and subsequent rulings",1,0.003554822178557515,0.12095633894205093,0.875488817691803,0.001992265461012721,0.05525098368525505,0.942756712436676
01270_4#01270_4_18,01270,01270_4,01270_4_18,The United States NSAs warrantless wiretapping program was justified.,"Judge Taylor misused the precedent of the ""Youngstown Sheet and Tube Case"" (seizure of U.S. steel mills in the face of a union strike) and overlooked many of its and subsequent rulings",1,0.003554822178557515,0.12095633894205093,0.875488817691803,0.001992265461012721,0.05525098368525505,0.942756712436676
01211_5#01211_5_3,01211,01211_5,01211_5_3,Web 2.0 citizen journalism is having a positive effect worldwide.,"The Web 2.0 is a much more efficient system than the ""old model"" because it removes barriers to entry, making it possible for those with talents or unique contributions to enter the market and be discovered:",-1,0.002031866228207946,0.0019034118158742785,0.9960647225379944,0.00040901347529143095,7.423626084346324e-05,0.9995167255401611
01211_2#01211_2_2,01211,01211_2,01211_2_2,Web 2.0 citizen journalism is having a positive effect worldwide.,"Web 2.0 technology is enabling market and democratic forces to be excercised more efficiently, and since these forces are long-term success-stories, Web 2.0 technologies are here to stay:",-1,0.008494495414197445,0.005863594356924295,0.9856418967247009,0.0004409198882058263,8.099848491838202e-05,0.9994780421257019
00688_5#00688_5_3,00688,00688_5,00688_5_3,Web 2.0 citizen journalism is having a positive effect worldwide.,"The Web 2.0 is a much more efficient system than the ""old model"" because it removes barriers to entry, making it possible for those with talents or unique contributions to enter the market and be discovered:",-1,0.002031866228207946,0.0019034118158742785,0.9960647225379944,0.00040901347529143095,7.423626084346324e-05,0.9995167255401611
00688_2#00688_2_5,00688,00688_2,00688_2_5,Web 2.0 citizen journalism is having a positive effect worldwide.,"Web 2.0 technology is enabling market and democratic forces to be excercised more efficiently, and since these forces are long-term success-stories, Web 2.0 technologies are here to stay:",-1,0.008494495414197445,0.005863594356924295,0.9856418967247009,0.0004409198882058263,8.099848491838202e-05,0.9994780421257019
00930_4#00930_4_27,00930,00930_4,00930_4_27,A guest worker immigration reform program is a good idea for the United States...,"Evidence that 2005s increased border security measures have decreased important immigrant labor that farm industries depend on (particularly in California), which has caused much greater support for a Guest Worker program among farmers:",1,0.1011132076382637,0.013399398885667324,0.8854874968528748,0.00938537809997797,0.005863593891263008,0.9847511053085327
00930_4#00930_4_20,00930,00930_4,00930_4_20,A guest worker immigration reform program is a good idea for the United States...,"""CBO (Congressional Budget Office) Analysis (8/18/06) finds increased revenues would offset increased entitlement costs under Senate Immigration Bill (S. 2611)""",1,0.004715768154710531,0.048667121678590775,0.946617066860199,0.003949651028960943,0.03675951436161995,0.9592908620834351
00793_4#00793_4_7,00793,00793_4,00793_4_7,The US is justified in unilaterally striking targets in Pakistan.,"Abu Laith al-Libi, the Libyan Al Qaeda leader behind the 2007 assassination attempt on Vice President Cheyney, is an example of a terrorist who freely moved across the border.",1,0.003302342724055052,0.37067893147468567,0.6260187029838562,0.0013426546938717365,0.1382993459701538,0.8603580594062805
01071_4#01071_4_3,01071,01071_4,01071_4_3,"Mass migration, especially from developing to developed countries, is a good force.","The success of immigrants in boosting the American economy was only possible thanks to a huge internal free, liberal market there at the time, and the plentiful availability of cheap land.",-1,0.006572646088898182,0.007574934046715498,0.9858523607254028,0.00036124675534665585,0.00028725340962409973,0.9993515610694885
00213_6#00213_6_10,00213,00213_6,00213_6_10,Military tribunals in the US were justified.,"Ex parte Milligan: Courts ruled against tribunals during the Civil War - that they""re not Article III courts - may undermine the Bush administrations claim that the War on Terror is an ""extraordinary"" justification:",-1,0.004674562718719244,0.8544281125068665,0.1408972591161728,0.003674599574878812,0.9092956781387329,0.08702977001667023
00841_6#00841_6_9,00841,00841_6,00841_6_9,Military tribunals in the US were justified.,"Ex parte Milligan: Courts ruled against tribunals during the Civil War - that they""re not Article III courts - may undermine the Bush administrations claim that the War on Terror is an ""extraordinary"" justification:",-1,0.004674562718719244,0.8544281125068665,0.1408972591161728,0.003674599574878812,0.9092956781387329,0.08702977001667023
00696_2#00696_2_3,00696,00696_2,00696_2_3,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,"A cap-and-trade system is ""fair"" because it rewards ""efficient""-polluters while punishing ""non-efficient"" polluters:",1,0.0012374731013551354,0.088802270591259,0.9099602699279785,0.0002544884046074003,0.003883235389366746,0.9958622455596924
01211_2#01211_2_3,01211,01211_2,01211_2_3,Web 2.0 citizen journalism is having a positive effect worldwide.,"""this latest, democratized culture, this user-generated content, is actually undermining many of our most valuable institutions, including movie studios, music labels, newspapers and publishing.""",1,0.23595142364501953,0.0100012281909585,0.7540473341941833,0.4192902147769928,0.0009686082485131919,0.5797412395477295
01278_4#01278_4_6,01278,01278_4,01278_4_6,We would be more secure if military expenditures were replaced with better management of our planets resources.,"Access to abundant, nutritious food and clean water, energy independence, and climate stability are better measures of personal, national, and global security than military might.",1,0.03357773274183273,0.09900001436471939,0.8674222230911255,0.004698819015175104,0.04672709107398987,0.9485741257667542
00688_3#00688_3_16,00688,00688_3,00688_3_16,Web 2.0 citizen journalism is having a positive effect worldwide.,"Some forums are designed to vet for quality content, while others are designed to allow for ""voice"" with few quality controls, and that both have their place; neither is ""better"":",-1,0.00353939994238317,0.002632517134770751,0.9938281178474426,0.0018774701748043299,0.0004029544652439654,0.9977195858955383
00930_2#00930_2_5,00930,00930_2,00930_2_5,A guest worker immigration reform program is a good idea for the United States...,"""Many union and advocacy groups are complaining a guest worker policy will contribute to further exploitation and poorer working conditions for illegal immigrants."" -Occupational Hazards 4/05/06",-1,0.0037016398273408413,0.7865812182426453,0.20971712470054626,0.00044197606621310115,0.9874140024185181,0.012144084088504314
00688_2#00688_2_1,00688,00688_2,00688_2_1,Web 2.0 citizen journalism is having a positive effect worldwide.,"""this latest, democratized culture, this user-generated content, is actually undermining many of our most valuable institutions, including movie studios, music labels, newspapers and publishing.""",1,0.23595142364501953,0.0100012281909585,0.7540473341941833,0.4192902147769928,0.0009686082485131919,0.5797412395477295
00930_8#00930_8_2,00930,00930_8,00930_8_2,A guest worker immigration reform program is a good idea for the United States...,"""It would reduce the demand for fraudulent documents, which in turn would reduce the supply available for terrorists trying to operate surreptitiously inside the United States.""",1,0.00273413909599185,0.04877983778715134,0.9484860897064209,0.0090394401922822,0.04209095612168312,0.9488695859909058
01211_3#01211_3_9,01211,01211_3,01211_3_9,Web 2.0 citizen journalism is having a positive effect worldwide.,"Some forums are designed to vet for quality content, while others are designed to allow for ""voice"" with few quality controls, and that both have their place; neither is ""better"":",-1,0.00353939994238317,0.002632517134770751,0.9938281178474426,0.0018774701748043299,0.0004029544652439654,0.9977195858955383
00930_6#00930_6_12,00930,00930_6,00930_6_12,A guest worker immigration reform program is a good idea for the United States...,"A White House ""Principle of Immigration Reform"": ""Providing Incentives for Return to Home Country"", which is intended to make implementation of the guest worker program more feasible:",1,0.10606279969215393,0.010447860695421696,0.8834893107414246,0.07016170024871826,0.004457399249076843,0.9253809452056885
00902_2#00902_2_1,00902,00902_2,00902_2_1,Outsourcing (and offshoring) is a positive phenomenon.,"Offshoring allows more developed countries to focus their economic activity on more highly skilled, value-adding processes which may be more financially profitable than, for example, low-end manufacturing.",1,0.09031636267900467,0.002915869001299143,0.906767725944519,0.7968704104423523,0.0012864557793363929,0.20184312760829926
00505_5#00505_5_1,00505,00505_5,00505_5_1,The United States NSAs warrantless wiretapping program was justified.,FISA authorizes the Justice Department to obtain warrants from the secret Foreign Intelligence Surveillance Court (FISC) up to 72 hours after the beginning of the eavesdropping.,-1,0.003330723149701953,0.030632929876446724,0.9660363793373108,0.0011631319066509604,0.006965144537389278,0.99187171459198
00915_5#00915_5_3,00915,00915_5,00915_5_3,The United States NSAs warrantless wiretapping program was justified.,FISA authorizes the Justice Department to obtain warrants from the secret Foreign Intelligence Surveillance Court (FISC) up to 72 hours after the beginning of the eavesdropping.,-1,0.003330723149701953,0.030632929876446724,0.9660363793373108,0.0011631319066509604,0.006965144537389278,0.99187171459198
00930_9#00930_9_4,00930,00930_9,00930_9_4,A guest worker immigration reform program is a good idea for the United States...,"Democrat Senate Minority Leader Harry Reid blocked debate on Guest Worker legislation in April, 2006, some believe because labor (AFL-CIO) opposed a Guest Worker program:",-1,0.00489856768399477,0.3088538944721222,0.6862475275993347,0.0052719321101903915,0.6252188682556152,0.369509220123291
00930_6#00930_6_4,00930,00930_6,00930_6_4,A guest worker immigration reform program is a good idea for the United States...,"The existing foreign worker programs are ""too complex"" and ""not usable"", according to some sources who argue that the new guest worker program would be more practical:",1,0.02270897477865219,0.05823201313614845,0.9190589785575867,0.0069342427887022495,0.5768531560897827,0.41621261835098267
01270_5#01270_5_6,01270,01270_5,01270_5_6,The United States NSAs warrantless wiretapping program was justified.,FISA authorizes the Justice Department to obtain warrants from the secret Foreign Intelligence Surveillance Court (FISC) up to 72 hours after the beginning of the eavesdropping.,-1,0.003330723149701953,0.030632929876446724,0.9660363793373108,0.0011631319066509604,0.006965144537389278,0.99187171459198
01211_2#01211_2_1,01211,01211_2,01211_2_1,Web 2.0 citizen journalism is having a positive effect worldwide.,"The ""free"" content of Web 2.0 is not very different than the mostly free content of tv, radio, and newspapers; ads are where these business make their money:",-1,0.009095505811274052,0.006710226647555828,0.9841943383216858,0.00044671574141830206,0.000624472217168659,0.9989288449287415
00688_2#00688_2_6,00688,00688_2,00688_2_6,Web 2.0 citizen journalism is having a positive effect worldwide.,"The ""free"" content of Web 2.0 is not very different than the mostly free content of tv, radio, and newspapers; ads are where these business make their money:",-1,0.009095505811274052,0.006710226647555828,0.9841943383216858,0.00044671574141830206,0.000624472217168659,0.9989288449287415
00930_1#00930_1_10,00930,00930_1,00930_1_10,A guest worker immigration reform program is a good idea for the United States...,"Arguments that a guest worker program is still ""amnesty"" even if a fine is paid by illegal immigrants for having broken the law:Americans for Immigration Control ""06",-1,0.02587210200726986,0.1799590289592743,0.7941688895225525,0.0040969038382172585,0.2675069272518158,0.7283961772918701
01278_4#01278_4_2,01278,01278_4,01278_4_2,We would be more secure if military expenditures were replaced with better management of our planets resources.,"The United States military offers poor protection if China, for example, would get better value by buying key assets of the United States than by invading it.",1,0.03886587545275688,0.5881889462471008,0.3729451894760132,0.023918382823467255,0.2938324213027954,0.6822491884231567
00688_3#00688_3_18,00688,00688_3,00688_3_18,Web 2.0 citizen journalism is having a positive effect worldwide.,"The crowd is becoming increasingly more intelligent, expert, and talented, making decentralizing Web 2.0 technologies increasingly capable of allowing the spotting of such things and their exposure:",-1,0.00773251848295331,0.0021043606102466583,0.9901632070541382,0.0038965041749179363,5.80577107029967e-05,0.9960454106330872
01071_4#01071_4_2,01071,01071_4,01071_4_2,"Mass migration, especially from developing to developed countries, is a good force.","Immigrants are mainly of working age, which means they consume less of the services provided by the state, such as health care and education, and pay more in taxes:",1,0.0039633819833397865,0.06494399160146713,0.9310926198959351,0.00036101668956689537,0.0015495338011533022,0.9980894923210144
01211_3#01211_3_10,01211,01211_3,01211_3_10,Web 2.0 citizen journalism is having a positive effect worldwide.,"The crowd is becoming increasingly more intelligent, expert, and talented, making decentralizing Web 2.0 technologies increasingly capable of allowing the spotting of such things and their exposure:",-1,0.00773251848295331,0.0021043606102466583,0.9901632070541382,0.0038965041749179363,5.80577107029967e-05,0.9960454106330872
00930_6#00930_6_9,00930,00930_6,00930_6_9,A guest worker immigration reform program is a good idea for the United States...,"Contention that a guest worker program has existed in the U.S. for some time in H2-A visas, but that very few signed up:",-1,0.00569289131090045,0.08298777788877487,0.9113192558288574,0.0035999624524265528,0.28414827585220337,0.7122517824172974
00930_2#00930_2_1,00930,00930_2,00930_2_1,A guest worker immigration reform program is a good idea for the United States...,"""For the workers, [the Guest Worker program] would provide temporary legal status and some civil rights protections that an illegal worker would not have.""",1,0.13200560212135315,0.020992662757635117,0.8470017313957214,0.08371540158987045,0.005850550252944231,0.9104340076446533
00930_5#00930_5_2,00930,00930_5,00930_5_2,A guest worker immigration reform program is a good idea for the United States...,"""Such a program would lower the inflow of illegal immigrants by expanding the channel for legal entry."" -Cato Institute 10/30/06",1,0.020037256181240082,0.013215542770922184,0.9667472243309021,0.00865613017231226,0.0293667484074831,0.9619771242141724
00841_7#00841_7_5,00841,00841_7,00841_7_5,Military tribunals in the US were justified.,"The Executive Order establishing the tribunals applies to any member of Al Qaida and to those who harbor terrorists. Yet, such persons are not necessarily violators of the laws of war.",-1,0.011560299433767796,0.040861230343580246,0.947578489780426,0.0015637768665328622,0.0006481714663095772,0.9977880716323853
00213_7#00213_7_7,00213,00213_7,00213_7_7,Military tribunals in the US were justified.,"The Executive Order establishing the tribunals applies to any member of Al Qaida and to those who harbor terrorists. Yet, such persons are not necessarily violators of the laws of war.",-1,0.011560299433767796,0.040861230343580246,0.947578489780426,0.0015637768665328622,0.0006481714663095772,0.9977880716323853
00930_6#00930_6_1,00930,00930_6,00930_6_1,A guest worker immigration reform program is a good idea for the United States...,"Argument that many illegals want the opportunity to return to their home-lands, making the enforcement of the end of the temporary worker period more feasible:",1,0.012150597758591175,0.11525730788707733,0.8725920915603638,0.01274128071963787,0.06719884276390076,0.920059859752655
01278_4#01278_4_5,01278,01278_4,01278_4_5,We would be more secure if military expenditures were replaced with better management of our planets resources.,"A strong military can protect countries from totalitarian regimes, such as in North Korea, whose disastrous policies cause hunger for many of their citizens.",-1,0.005381851922720671,0.0069985175505280495,0.9876196384429932,0.0006340730469673872,0.002825927222147584,0.9965400695800781
00791_2#00791_2_8,00791,00791_2,00791_2_8,Atheism is a sound (un)religious philosophy in the modern world.,Just because some wars have happened in the name of religion does not mean that all people who follow the religion can be tarnished by the same brush.,-1,0.010405835695564747,0.6242799162864685,0.365314245223999,0.015478539280593395,0.14005103707313538,0.8444704413414001
00543_4#00543_4_1,00543,00543_4,00543_4_1,A military draft generally is a good thing to have in place at all times.,"In case of total war, the conscription is the only alternative for a small nation to build an army of credible strength without having to depend on alliances.",1,0.0059992531314492226,0.38487255573272705,0.6091281771659851,0.0010934940073639154,0.6845502853393555,0.3143562376499176
00930_8#00930_8_10,00930,00930_8,00930_8_10,A guest worker immigration reform program is a good idea for the United States...,"""Immigration makes security stronger, not weaker: ""immigrants provide a bridge to world understanding, helping to counter anti-American sentiment."""" -",1,0.0050423298962414265,0.01331980898976326,0.9816378951072693,0.000855963968206197,0.0019622205290943384,0.99718177318573
00696_7#00696_7_3,00696,00696_7,00696_7_3,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,It is ok for some of the costs of a carbon tax to be passed on to consumers because they are also responsible for carbon emissions:,-1,0.013110189698636532,0.013092740438878536,0.9737971425056458,0.0009942895267158747,0.004861066583544016,0.9941446185112
00930_9#00930_9_3,00930,00930_9,00930_9_3,A guest worker immigration reform program is a good idea for the United States...,"88 percent of Republican House Members voted Yes on the Sensenbrenner H.R. 4437 bill, which clearly opposed a guest worker program",-1,0.0076820398680865765,0.2908768951892853,0.7014410495758057,0.004326184745877981,0.8764213919639587,0.11925237625837326
